,Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
5150,EAST GEORGIA REGIONAL MEDICAL CENTER,110075,GA,READM-30-COPD-HRRP,326,1.0224,20.1,19.6,67.0,07/01/2010,06/30/2013
11342,MERCY GILBERT MEDICAL CENTER,30119,AZ,READM-30-PN-HRRP,326,0.9294,15.8,17.0,47.0,07/01/2010,06/30/2013
10358,NORTH SHORE MEDICAL CENTER,220035,MA,READM-30-AMI-HRRP,326,0.9487,16.2,17.1,50.0,07/01/2010,06/30/2013
8370,ST JOSEPH HOSPITAL,300011,NH,READM-30-PN-HRRP,326,0.9773,16.4,16.8,52.0,07/01/2010,06/30/2013
8501,FLOWER HOSPITAL,360074,OH,READM-30-HF-HRRP,326,0.9758,22.2,22.8,71.0,07/01/2010,06/30/2013
9648,HIGHLANDS REGIONAL MEDICAL CENTER,180005,KY,READM-30-PN-HRRP,326,0.9599,18.3,19.0,57.0,07/01/2010,06/30/2013
5077,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,140008,IL,READM-30-COPD-HRRP,326,1.0233,20.6,20.2,69.0,07/01/2010,06/30/2013
11162,PROVIDENCE SACRED HEART MEDICAL CENTER,500054,WA,READM-30-PN-HRRP,327,0.9333,15.9,17.1,48.0,07/01/2010,06/30/2013
10444,ERLANGER MEDICAL CENTER,440104,TN,READM-30-HF-HRRP,327,0.9472,21.8,23.0,68.0,07/01/2010,06/30/2013
8966,ST ANTHONY HOSPITAL,500151,WA,READM-30-PN-HRRP,327,0.9693,17.1,17.6,54.0,07/01/2010,06/30/2013
84,WHITE RIVER MEDICAL CENTER,40119,AR,READM-30-HIP-KNEE-HRRP,327,1.302,6.8,5.2,27.0,07/01/2010,06/30/2013
6965,ST LUKE'S THE WOODLANDS HOSPITAL,450862,TX,READM-30-PN-HRRP,327,0.9959,18.1,18.2,59.0,07/01/2010,06/30/2013
3249,MEDINA HOSPITAL,360091,OH,READM-30-PN-HRRP,327,1.0562,19.5,18.4,67.0,07/01/2010,06/30/2013
9951,YORK HOSPITAL,200020,ME,READM-30-PN-HRRP,327,0.9551,14.3,14.9,44.0,07/01/2010,06/30/2013
3896,HAHNEMANN UNIVERSITY HOSPITAL,390290,PA,READM-30-HF-HRRP,327,1.0432,24.0,23.0,81.0,07/01/2010,06/30/2013
7953,PARKLAND HEALTH CENTER,260163,MO,READM-30-PN-HRRP,327,0.9829,17.8,18.1,57.0,07/01/2010,06/30/2013
7088,BON SECOURS ST MARYS HOSPITAL,490059,VA,READM-30-COPD-HRRP,327,0.9942,20.3,20.4,66.0,07/01/2010,06/30/2013
4785,ST ANTHONYS MEMORIAL HOSPITAL,140032,IL,READM-30-PN-HRRP,327,1.0284,17.2,16.8,58.0,07/01/2010,06/30/2013
1830,"BEAUMONT HOSPITAL, GROSSE POINTE",230089,MI,READM-30-PN-HRRP,327,1.0914,19.5,17.8,69.0,07/01/2010,06/30/2013
13093,ST CHARLES MEDICAL CENTER - BEND,380047,OR,READM-30-PN-HRRP,327,0.8628,13.3,15.4,35.0,07/01/2010,06/30/2013
3880,WHEELING HOSPITAL,510050,WV,READM-30-AMI-HRRP,327,1.0435,16.4,15.8,56.0,07/01/2010,06/30/2013
4492,ST LUKE'S HOSPITAL,360090,OH,READM-30-PN-HRRP,328,1.0333,18.3,17.7,62.0,07/01/2010,06/30/2013
982,WADLEY REGIONAL MEDICAL CENTER,450200,TX,READM-30-PN-HRRP,328,1.1304,19.7,17.4,72.0,07/01/2010,06/30/2013
12822,COMMUNITY HEALTH CENTER OF BRANCH COUNTY,230022,MI,READM-30-COPD-HRRP,328,0.8804,18.1,20.5,50.0,07/01/2010,06/30/2013
8899,MAGEE GENERAL HOSPITAL,250124,MS,READM-30-PN-HRRP,328,0.9701,13.3,13.7,42.0,07/01/2010,06/30/2013
3526,SANTA ROSA MEDICAL CENTER,100124,FL,READM-30-COPD-HRRP,328,1.0503,21.7,20.7,75.0,07/01/2010,06/30/2013
7164,UNIVERSITY OF TN MEMORIAL HOSPITAL,440015,TN,READM-30-AMI-HRRP,328,0.9932,16.3,16.4,53.0,07/01/2010,06/30/2013
10258,ST JOSEPHS MEDICAL CENTER OF STOCKTON,50084,CA,READM-30-AMI-HRRP,328,0.9501,15.8,16.6,49.0,07/01/2010,06/30/2013
5209,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,310025,NJ,READM-30-COPD-HRRP,328,1.0216,22.4,21.9,75.0,07/01/2010,06/30/2013
8918,BAPTIST HEALTH MADISONVILLE,180093,KY,READM-30-AMI-HRRP,328,0.9698,17.3,17.8,55.0,07/01/2010,06/30/2013
6712,IU HEALTH WEST HOSPITAL,150158,IN,READM-30-HF-HRRP,328,0.9994,22.9,22.9,75.0,07/01/2010,06/30/2013
9559,INTEGRIS SOUTHWEST MEDICAL CENTER,370106,OK,READM-30-HF-HRRP,328,0.9611,22.4,23.3,71.0,07/01/2010,06/30/2013
1070,HALIFAX REGIONAL MEDICAL CENTER INC,340151,NC,READM-30-PN-HRRP,328,1.1241,19.5,17.3,71.0,07/01/2010,06/30/2013
8532,HIGHLAND HOSPITAL,330164,NY,READM-30-HF-HRRP,329,0.9753,20.8,21.3,67.0,07/01/2010,06/30/2013
11903,DEACONESS HOSPITAL,370032,OK,READM-30-PN-HRRP,329,0.9153,14.3,15.6,42.0,07/01/2010,06/30/2013
6794,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,40036,AR,READM-30-AMI-HRRP,329,0.9981,15.5,15.6,51.0,07/01/2010,06/30/2013
10456,MERCY HOSPITAL NORTHWEST ARKANSAS,40010,AR,READM-30-PN-HRRP,329,0.9469,16.2,17.1,50.0,07/01/2010,06/30/2013
9792,BAPTIST MEMORIAL HOSPITAL BOONEVILLE,250044,MS,READM-30-COPD-HRRP,329,0.9575,18.3,19.1,57.0,07/01/2010,06/30/2013
6328,MEMORIAL HOSPITAL,450508,TX,READM-30-PN-HRRP,329,1.005,17.2,17.2,57.0,07/01/2010,06/30/2013
858,UNIVERSITY OF MARYLAND MEDICAL CENTER,210002,MD,READM-30-HF-HRRP,329,1.1379,28.6,25.1,102.0,07/01/2010,06/30/2013
4529,YAKIMA REGIONAL MEDICAL AND CARDIAC CENTER,500012,WA,READM-30-HF-HRRP,329,1.0329,21.3,20.6,72.0,07/01/2010,06/30/2013
6754,CENTRAL CAROLINA HOSPITAL,340020,NC,READM-30-PN-HRRP,329,0.9987,17.0,17.1,56.0,07/01/2010,06/30/2013
13435,SACRED HEART HOSPITAL,520013,WI,READM-30-HIP-KNEE-HRRP,329,0.8236,4.4,5.3,11.0,07/01/2010,06/30/2013
2769,YAKIMA REGIONAL MEDICAL AND CARDIAC CENTER,500012,WA,READM-30-AMI-HRRP,329,1.0661,16.0,15.0,56.0,07/01/2010,06/30/2013
2162,MEDICAL CITY DALLAS HOSPITAL,450647,TX,READM-30-PN-HRRP,330,1.081,19.2,17.7,68.0,07/01/2010,06/30/2013
9517,LONGMONT UNITED HOSPITAL,60003,CO,READM-30-HIP-KNEE-HRRP,330,0.9616,4.5,4.6,14.0,07/01/2010,06/30/2013
10216,VALLEY REGIONAL MEDICAL CENTER,450662,TX,READM-30-COPD-HRRP,330,0.9508,19.6,20.6,61.0,07/01/2010,06/30/2013
9342,ST LUKES REGIONAL MEDICAL CENTER,160146,IA,READM-30-PN-HRRP,330,0.9641,15.8,16.4,50.0,07/01/2010,06/30/2013
8001,SWEDISH MEDICAL CENTER,60034,CO,READM-30-PN-HRRP,330,0.9822,16.7,17.0,54.0,07/01/2010,06/30/2013
3060,GREENWOOD LEFLORE HOSPITAL,250099,MS,READM-30-HF-HRRP,330,1.06,23.2,21.9,80.0,07/01/2010,06/30/2013
312,NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER,250042,MS,READM-30-HF-HRRP,330,1.2052,27.8,23.0,103.0,07/01/2010,06/30/2013
12509,MARSHALL MEDICAL CENTER SOUTH,10005,AL,READM-30-HF-HRRP,330,0.8952,20.4,22.8,61.0,07/01/2010,06/30/2013
7104,PHELPS COUNTY REGIONAL MEDICAL CENTER,260017,MO,READM-30-HF-HRRP,330,0.994,24.7,24.8,81.0,07/01/2010,06/30/2013
10071,PASSAVANT AREA HOSPITAL,140058,IL,READM-30-HIP-KNEE-HRRP,330,0.9531,5.1,5.4,16.0,07/01/2010,06/30/2013
961,ROCKFORD MEMORIAL HOSPITAL,140239,IL,READM-30-HIP-KNEE-HRRP,330,1.1316,6.0,5.3,22.0,07/01/2010,06/30/2013
7606,UNIVERSITY HOSPITALS - ELYRIA MEDICAL CENTER,360145,OH,READM-30-HIP-KNEE-HRRP,330,0.9873,5.8,5.9,19.0,07/01/2010,06/30/2013
12095,CAROLINAS MEDICAL  CENTER-PINEVILLE,340098,NC,READM-30-AMI-HRRP,330,0.9098,14.2,15.6,42.0,07/01/2010,06/30/2013
5482,BROOKWOOD MEDICAL CENTER,10139,AL,READM-30-COPD-HRRP,330,1.0174,20.2,19.9,68.0,07/01/2010,06/30/2013
5956,NOVANT HEALTH BRUNSWICK MEDICAL CENTER,340158,NC,READM-30-COPD-HRRP,330,1.0105,19.8,19.6,66.0,07/01/2010,06/30/2013
6119,BAKERSFIELD MEMORIAL HOSPITAL,50036,CA,READM-30-COPD-HRRP,330,1.0078,21.0,20.9,70.0,07/01/2010,06/30/2013
4487,SENTARA CAREPLEX HOSPITAL,490093,VA,READM-30-COPD-HRRP,330,1.0333,21.1,20.4,72.0,07/01/2010,06/30/2013
6933,ST VINCENT HOSPITAL,320002,NM,READM-30-PN-HRRP,331,0.9963,17.0,17.0,56.0,07/01/2010,06/30/2013
8267,BAY AREA HOSPITAL,380090,OR,READM-30-HF-HRRP,331,0.9786,19.4,19.8,63.0,07/01/2010,06/30/2013
1512,SWEDISH MEDICAL CENTER,500027,WA,READM-30-HF-HRRP,331,1.1026,23.1,20.9,82.0,07/01/2010,06/30/2013
12065,GREAT PLAINS HEALTH,280065,NE,READM-30-PN-HRRP,331,0.911,15.6,17.1,46.0,07/01/2010,06/30/2013
4356,BOTHWELL REGIONAL HEALTH CENTER,260009,MO,READM-30-HF-HRRP,331,1.0353,21.8,21.0,74.0,07/01/2010,06/30/2013
12609,"MILFORD HOSPITAL, INC",70019,CT,READM-30-HIP-KNEE-HRRP,331,0.8906,4.5,5.1,13.0,07/01/2010,06/30/2013
11917,MERCY MEDICAL CENTER-SIOUX CITY,160153,IA,READM-30-PN-HRRP,331,0.915,14.9,16.3,44.0,07/01/2010,06/30/2013
7770,SOUTHERN MAINE HEALTH CARE,200019,ME,READM-30-COPD-HRRP,331,0.9852,21.5,21.8,70.0,07/01/2010,06/30/2013
10207,SENTARA VIRGINIA BEACH GENERAL HOSPITAL,490057,VA,READM-30-AMI-HRRP,331,0.9509,14.7,15.4,46.0,07/01/2010,06/30/2013
6229,PRESENCE SAINT JOSEPH HOSPITAL - ELGIN,140217,IL,READM-30-HF-HRRP,331,1.0064,23.8,23.6,79.0,07/01/2010,06/30/2013
2141,UNIVERSITY OF VIRGINIA MEDICAL CENTER,490009,VA,READM-30-PN-HRRP,331,1.0818,19.7,18.2,70.0,07/01/2010,06/30/2013
10483,SOUTHWEST HEALTHCARE SYSTEM,50701,CA,READM-30-COPD-HRRP,331,0.9465,19.7,20.8,61.0,07/01/2010,06/30/2013
7957,FREMONT HEALTH MEDICAL CENTER,280077,NE,READM-30-HIP-KNEE-HRRP,331,0.9828,4.9,5.0,16.0,07/01/2010,06/30/2013
2010,ST FRANCIS COMMUNITY HOSPITAL,500141,WA,READM-30-HF-HRRP,331,1.0855,23.3,21.5,82.0,07/01/2010,06/30/2013
13045,SOUTH GEORGIA MEDICAL CENTER,110122,GA,READM-30-AMI-HRRP,331,0.8658,15.0,17.3,42.0,07/01/2010,06/30/2013
37,GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-HIP-KNEE-HRRP,331,1.3853,7.6,5.5,31.0,07/01/2010,06/30/2013
10714,BAY AREA MEDICAL CENTER,520113,WI,READM-30-COPD-HRRP,332,0.9422,20.6,21.9,64.0,07/01/2010,06/30/2013
3933,MARY IMMACULATE HOSPITAL,490041,VA,READM-30-HF-HRRP,332,1.0425,22.8,21.8,78.0,07/01/2010,06/30/2013
1848,BAKERSFIELD MEMORIAL HOSPITAL,50036,CA,READM-30-HF-HRRP,332,1.091,26.1,23.9,92.0,07/01/2010,06/30/2013
7694,LAKEWOOD HOSPITAL,360212,OH,READM-30-HF-HRRP,332,0.9863,23.1,23.5,76.0,07/01/2010,06/30/2013
11937,VANDERBILT UNIVERSITY HOSPITAL,440039,TN,READM-30-HIP-KNEE-HRRP,332,0.9145,4.7,5.1,14.0,07/01/2010,06/30/2013
6311,ARNOT OGDEN MEDICAL CENTER,330090,NY,READM-30-AMI-HRRP,332,1.0052,17.4,17.3,58.0,07/01/2010,06/30/2013
10912,ST MARY MEDICAL CENTER,140064,IL,READM-30-PN-HRRP,332,0.938,15.3,16.3,47.0,07/01/2010,06/30/2013
7441,MERCY MEDICAL CENTER,380027,OR,READM-30-HF-HRRP,332,0.9895,22.2,22.4,73.0,07/01/2010,06/30/2013
21,UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT,60024,CO,READM-30-HIP-KNEE-HRRP,332,1.4317,7.4,5.1,31.0,07/01/2010,06/30/2013
13034,ST PATRICK HOSPITAL,270014,MT,READM-30-PN-HRRP,332,0.867,12.7,14.6,34.0,07/01/2010,06/30/2013
11168,HAVASU REGIONAL MEDICAL CENTER,30069,AZ,READM-30-PN-HRRP,332,0.9332,14.8,15.8,45.0,07/01/2010,06/30/2013
13459,KANSAS HEART HOSPITAL,170186,KS,READM-30-AMI-HRRP,332,0.8187,12.4,15.2,31.0,07/01/2010,06/30/2013
3392,DOCTORS HOSPITAL,360152,OH,READM-30-COPD-HRRP,332,1.0532,22.6,21.5,79.0,07/01/2010,06/30/2013
2605,GOOD SAMARITAN HOSPITAL,150042,IN,READM-30-PN-HRRP,332,1.0698,17.8,16.6,63.0,07/01/2010,06/30/2013
1091,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,320085,NM,READM-30-PN-HRRP,332,1.1225,19.3,17.2,71.0,07/01/2010,06/30/2013
2768,LOWELL GENERAL HOSPITAL,220063,MA,READM-30-PN-HRRP,332,1.0661,17.5,16.4,62.0,07/01/2010,06/30/2013
7106,LENOX HILL HOSPITAL,330119,NY,READM-30-COPD-HRRP,332,0.9939,21.2,21.4,70.0,07/01/2010,06/30/2013
10540,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,50145,CA,READM-30-COPD-HRRP,332,0.9454,17.8,18.8,55.0,07/01/2010,06/30/2013
9402,PRESENCE ST MARYS HOSPITAL,140155,IL,READM-30-COPD-HRRP,332,0.9634,20.1,20.9,64.0,07/01/2010,06/30/2013
6549,SAINT CLARE'S HOSPITAL,310050,NJ,READM-30-HIP-KNEE-HRRP,332,1.0015,5.4,5.4,18.0,07/01/2010,06/30/2013
12140,BAYSHORE MEDICAL CENTER,450097,TX,READM-30-PN-HRRP,333,0.9086,16.5,18.1,49.0,07/01/2010,06/30/2013
349,LICKING MEMORIAL HOSPITAL,360218,OH,READM-30-COPD-HRRP,333,1.1968,23.6,19.7,92.0,07/01/2010,06/30/2013
7218,HENDRICKS REGIONAL HEALTH,150005,IN,READM-30-COPD-HRRP,333,0.9925,19.1,19.2,63.0,07/01/2010,06/30/2013
12079,FAIRVIEW SOUTHDALE HOSPITAL,240078,MN,READM-30-PN-HRRP,333,0.9106,14.2,15.6,42.0,07/01/2010,06/30/2013
6428,RUTHERFORD REGIONAL MEDICAL CENTER,340013,NC,READM-30-PN-HRRP,333,1.0036,15.6,15.5,52.0,07/01/2010,06/30/2013
5734,AURORA WEST ALLIS MEDICAL CENTER,520139,WI,READM-30-HF-HRRP,333,1.0138,22.3,22.0,75.0,07/01/2010,06/30/2013
6536,O'CONNOR HOSPITAL,50153,CA,READM-30-PN-HRRP,333,1.0018,15.9,15.9,53.0,07/01/2010,06/30/2013
4713,UNIVERSITY OF NORTH CAROLINA HOSPITAL,340061,NC,READM-30-AMI-HRRP,333,1.0297,17.2,16.8,59.0,07/01/2010,06/30/2013
10544,PALOMAR HEALTH DOWNTOWN CAMPUS,50115,CA,READM-30-HF-HRRP,333,0.9454,19.9,21.0,63.0,07/01/2010,06/30/2013
11865,TALLAHASSEE MEMORIAL HOSPITAL,100135,FL,READM-30-PN-HRRP,333,0.9163,14.1,15.4,42.0,07/01/2010,06/30/2013
9624,VALLEYCARE MEDICAL CENTER,50283,CA,READM-30-HF-HRRP,333,0.9603,20.8,21.7,67.0,07/01/2010,06/30/2013
10531,HANOVER HOSPITAL,390233,PA,READM-30-HIP-KNEE-HRRP,333,0.9457,4.8,5.1,15.0,07/01/2010,06/30/2013
3499,SSM ST CLARE HEALTH CENTER,260081,MO,READM-30-PN-HRRP,333,1.0509,17.7,16.9,62.0,07/01/2010,06/30/2013
10602,MEMORIAL HOSPITAL AND HEALTH CARE CENTER,150115,IN,READM-30-PN-HRRP,333,0.9444,15.4,16.3,48.0,07/01/2010,06/30/2013
11656,INTERMOUNTAIN MEDICAL CENTER,460010,UT,READM-30-HIP-KNEE-HRRP,333,0.9219,4.9,5.4,15.0,07/01/2010,06/30/2013
2218,SOUTHERN OHIO MEDICAL CENTER,360008,OH,READM-30-AMI-HRRP,333,1.0796,19.5,18.0,69.0,07/01/2010,06/30/2013
3071,VALLEY HOSPITAL MEDICAL CENTER,290021,NV,READM-30-HF-HRRP,333,1.0598,25.1,23.7,87.0,07/01/2010,06/30/2013
1346,CONROE REGIONAL MEDICAL CENTER,450222,TX,READM-30-AMI-HRRP,333,1.11,18.1,16.3,66.0,07/01/2010,06/30/2013
2687,EASTON HOSPITAL,390162,PA,READM-30-PN-HRRP,334,1.0678,19.2,17.9,68.0,07/01/2010,06/30/2013
10996,NOVANT HEALTH PRINCE WILLIAM MEDICAL CENTER,490045,VA,READM-30-HF-HRRP,334,0.9365,20.3,21.7,64.0,07/01/2010,06/30/2013
12599,MERCY HEALTH SYSTEM CORP,520066,WI,READM-30-PN-HRRP,334,0.891,14.6,16.4,42.0,07/01/2010,06/30/2013
6552,WELLMONT BRISTOL REGIONAL MEDICAL CENTER,440012,TN,READM-30-HIP-KNEE-HRRP,334,1.0015,4.8,4.8,16.0,07/01/2010,06/30/2013
12612,BAY AREA HOSPITAL,380090,OR,READM-30-HIP-KNEE-HRRP,334,0.8905,4.2,4.7,12.0,07/01/2010,06/30/2013
158,WILLIAMSON MEMORIAL HOSPITAL,510077,WV,READM-30-COPD-HRRP,334,1.2489,25.5,20.4,102.0,07/01/2010,06/30/2013
10835,KADLEC REGIONAL MEDICAL CENTER,500058,WA,READM-30-COPD-HRRP,334,0.9397,17.8,18.9,55.0,07/01/2010,06/30/2013
5874,CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL,140176,IL,READM-30-COPD-HRRP,334,1.0116,20.4,20.2,69.0,07/01/2010,06/30/2013
8102,NORTHWESTERN MEDICAL CENTER INC,470024,VT,READM-30-PN-HRRP,334,0.9807,15.9,16.2,52.0,07/01/2010,06/30/2013
12255,ENGLEWOOD COMMUNITY HOSPITAL,100267,FL,READM-30-HF-HRRP,334,0.9049,20.3,22.4,62.0,07/01/2010,06/30/2013
4984,AIKEN REGIONAL MEDICAL CENTER,420082,SC,READM-30-PN-HRRP,334,1.0248,16.6,16.2,57.0,07/01/2010,06/30/2013
2536,GREAT RIVER MEDICAL CENTER,160057,IA,READM-30-PN-HRRP,334,1.0714,17.0,15.9,61.0,07/01/2010,06/30/2013
3598,UNITED HOSPITAL CENTER,510006,WV,READM-30-AMI-HRRP,334,1.0485,19.3,18.4,67.0,07/01/2010,06/30/2013
13624,ST RITA'S MEDICAL CENTER,360066,OH,READM-30-HIP-KNEE-HRRP,334,0.7636,5.0,6.6,12.0,07/01/2010,06/30/2013
2064,GOOD SAMARITAN HOSPITAL OF SUFFERN,330158,NY,READM-30-PN-HRRP,334,1.0841,19.8,18.2,71.0,07/01/2010,06/30/2013
2494,HIGHLAND HOSPITAL,330164,NY,READM-30-PN-HRRP,334,1.0724,17.6,16.4,63.0,07/01/2010,06/30/2013
12774,MEDWEST HAYWOOD,340184,NC,READM-30-COPD-HRRP,335,0.8824,17.3,19.6,49.0,07/01/2010,06/30/2013
2051,TWIN CITIES COMMUNITY HOSPITAL,50633,CA,READM-30-PN-HRRP,335,1.0846,16.8,15.5,61.0,07/01/2010,06/30/2013
9760,SOUTH TEXAS SURGICAL HOSPITAL,670061,TX,READM-30-HIP-KNEE-HRRP,335,0.9579,4.7,4.9,15.0,07/01/2010,06/30/2013
6951,PALMETTO HEALTH RICHLAND,420018,SC,READM-30-COPD-HRRP,335,0.9961,21.6,21.7,72.0,07/01/2010,06/30/2013
11117,IBERIA GENERAL HOSPITAL AND MEDICAL CENTER,190054,LA,READM-30-PN-HRRP,335,0.934,15.8,17.0,49.0,07/01/2010,06/30/2013
3950,ST MARY MERCY HOSPITAL,230002,MI,READM-30-AMI-HRRP,335,1.0422,22.0,21.1,76.0,07/01/2010,06/30/2013
13332,SWEDISH MEDICAL CENTER,60034,CO,READM-30-HF-HRRP,335,0.8379,18.2,21.7,51.0,07/01/2010,06/30/2013
3228,ST ELIZABETH HOSPITAL,140187,IL,READM-30-AMI-HRRP,335,1.0566,16.4,15.6,58.0,07/01/2010,06/30/2013
9353,SCRIPPS MEMORIAL HOSPITAL LA JOLLA,50324,CA,READM-30-HF-HRRP,335,0.9639,20.3,21.1,66.0,07/01/2010,06/30/2013
3510,ST VINCENT ANDERSON REGIONAL HOSPITAL INC,150088,IN,READM-30-HF-HRRP,335,1.0507,23.9,22.7,83.0,07/01/2010,06/30/2013
11760,MERCY MEDICAL CENTER-SIOUX CITY,160153,IA,READM-30-AMI-HRRP,335,0.9192,13.8,15.1,42.0,07/01/2010,06/30/2013
1017,BRISTOL HOSPITAL,70029,CT,READM-30-PN-HRRP,335,1.128,19.0,16.9,71.0,07/01/2010,06/30/2013
12244,JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-PN-HRRP,335,0.9054,15.5,17.1,46.0,07/01/2010,06/30/2013
2878,MERCY HOSPITAL CLERMONT,360236,OH,READM-30-COPD-HRRP,335,1.0638,21.3,20.0,76.0,07/01/2010,06/30/2013
3748,MERCY HEALTH SYSTEM CORP,520066,WI,READM-30-HIP-KNEE-HRRP,335,1.046,4.8,4.6,17.0,07/01/2010,06/30/2013
1487,CARILION NEW RIVER VALLEY MEDICAL CENTER,490042,VA,READM-30-PN-HRRP,335,1.1034,19.4,17.6,71.0,07/01/2010,06/30/2013
5972,WEST SUBURBAN MEDICAL CENTER,140049,IL,READM-30-HF-HRRP,335,1.0103,23.1,22.9,78.0,07/01/2010,06/30/2013
5961,HARDIN MEMORIAL HOSPITAL,180012,KY,READM-30-AMI-HRRP,336,1.0104,17.1,16.9,58.0,07/01/2010,06/30/2013
10800,ALAMANCE REGIONAL MEDICAL CENTER,340070,NC,READM-30-COPD-HRRP,336,0.9403,18.0,19.1,56.0,07/01/2010,06/30/2013
3393,LEWISTOWN HOSPITAL,390048,PA,READM-30-HF-HRRP,336,1.0532,23.8,22.6,83.0,07/01/2010,06/30/2013
8261,COMMUNITY REGIONAL MEDICAL CENTER,50060,CA,READM-30-COPD-HRRP,336,0.9786,20.7,21.2,68.0,07/01/2010,06/30/2013
2639,WESTERN ARIZONA REGIONAL MEDICAL CENTER,30101,AZ,READM-30-HIP-KNEE-HRRP,336,1.0692,5.6,5.2,20.0,07/01/2010,06/30/2013
5517,LOURDES MEDICAL CENTER OF BURLINGTON COUNTY,310061,NJ,READM-30-COPD-HRRP,336,1.0168,21.4,21.0,73.0,07/01/2010,06/30/2013
9736,HUGULEY MEMORIAL MEDICAL CENTER,450677,TX,READM-30-COPD-HRRP,336,0.9582,19.7,20.5,63.0,07/01/2010,06/30/2013
1968,RIVER REGION HEALTH SYSTEM,250031,MS,READM-30-COPD-HRRP,336,1.0874,21.4,19.7,78.0,07/01/2010,06/30/2013
9319,MARION GENERAL HOSPITAL,150011,IN,READM-30-HF-HRRP,336,0.9644,22.1,22.9,72.0,07/01/2010,06/30/2013
8024,MERCY HOSPITAL JOPLIN,260001,MO,READM-30-HF-HRRP,336,0.9818,22.3,22.8,74.0,07/01/2010,06/30/2013
2911,ALTA BATES SUMMIT MEDICAL CENTER,50043,CA,READM-30-AMI-HRRP,336,1.0631,19.5,18.4,69.0,07/01/2010,06/30/2013
3236,NORTHBAY MEDICAL CENTER,50367,CA,READM-30-COPD-HRRP,336,1.0565,23.2,21.9,82.0,07/01/2010,06/30/2013
12481,CHI HEALTH ST FRANCIS,280023,NE,READM-30-COPD-HRRP,336,0.8966,18.1,20.2,53.0,07/01/2010,06/30/2013
7657,HELEN KELLER MEMORIAL HOSPITAL,10019,AL,READM-30-HF-HRRP,337,0.9868,21.3,21.6,71.0,07/01/2010,06/30/2013
5947,ST JOHNS HOSPITAL,140053,IL,READM-30-PN-HRRP,337,1.0107,18.2,18.0,62.0,07/01/2010,06/30/2013
1994,ST CLARE HOSPITAL,500021,WA,READM-30-COPD-HRRP,337,1.0863,22.2,20.4,81.0,07/01/2010,06/30/2013
11598,GLENDALE MEM HOSPITAL & HLTH CENTER,50058,CA,READM-30-COPD-HRRP,337,0.9234,20.5,22.2,63.0,07/01/2010,06/30/2013
1753,GOOD SAMARITAN REGIONAL HLTH CENTER,140046,IL,READM-30-AMI-HRRP,337,1.0941,17.9,16.3,65.0,07/01/2010,06/30/2013
204,CLEVELAND CLINIC,360180,OH,READM-30-PN-HRRP,337,1.2334,24.2,19.6,95.0,07/01/2010,06/30/2013
4625,SELF REGIONAL HEALTHCARE,420071,SC,READM-30-AMI-HRRP,337,1.0313,16.4,15.9,57.0,07/01/2010,06/30/2013
8659,MEMORIAL HERMANN TEXAS MEDICAL CENTER,450068,TX,READM-30-HF-HRRP,337,0.9736,23.0,23.6,76.0,07/01/2010,06/30/2013
13550,OAKWOOD HOSPITAL - SOUTHSHORE,230176,MI,READM-30-HIP-KNEE-HRRP,337,0.791,4.8,6.1,12.0,07/01/2010,06/30/2013
1715,JACKSON MEMORIAL HOSPITAL,100022,FL,READM-30-PN-HRRP,337,1.0954,21.4,19.6,78.0,07/01/2010,06/30/2013
12993,MARQUETTE GENERAL HOSPITAL,230054,MI,READM-30-HF-HRRP,337,0.8693,19.0,21.8,56.0,07/01/2010,06/30/2013
11359,UNITED REGIONAL HEALTH CARE SYSTEM,450010,TX,READM-30-HIP-KNEE-HRRP,337,0.9289,5.1,5.5,16.0,07/01/2010,06/30/2013
481,CORNING HOSPITAL,330277,NY,READM-30-HF-HRRP,337,1.1751,25.3,21.6,95.0,07/01/2010,06/30/2013
6242,INOVA FAIR OAKS HOSPITAL,490101,VA,READM-30-HF-HRRP,337,1.0062,21.9,21.7,74.0,07/01/2010,06/30/2013
13322,CHESHIRE MEDICAL CENTER,300019,NH,READM-30-PN-HRRP,337,0.8388,14.3,17.1,38.0,07/01/2010,06/30/2013
2274,FOREST HILLS HOSPITAL,330353,NY,READM-30-HF-HRRP,337,1.0779,25.7,23.8,91.0,07/01/2010,06/30/2013
5541,CGH MEDICAL CENTER,140043,IL,READM-30-PN-HRRP,337,1.0164,17.8,17.5,61.0,07/01/2010,06/30/2013
13071,ALPENA REGIONAL MEDICAL CENTER,230036,MI,READM-30-PN-HRRP,337,0.8645,15.3,17.7,43.0,07/01/2010,06/30/2013
